player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Marc Gasol,gasolma01,2021,2240,1080,-1.439919294776982,3.722390228477285,2.282470933700303,-1.543305870837492,1.17652493453228,-.3667809363052127,-1.526917710748837,3.314662758631832,1.787745047882996,2.544967133691243,2.05885878284059,.4861083508506528,-2.270387461038819,4.623003677150741,2.352616216111922,.6069816461790452
Rudy Gay,gayru01,2021,2865,1358,-.4551793059838782,2.209660883742039,1.754481577758161,-1.109081672549187,6.88176124329237,5.772679570743183,-.6023719502863966,3.326523778592786,2.72415182830639,3.794905792500244,3.794905792500244,0,-.2476582628973123,2.019198439908741,1.771540177011429,.0567327034098762
Paul George,georgpa01,2021,5224,2597,4.108997016337753,1.718942724226977,5.82793974056473,5.64290004618916,2.559440205367628,8.202340251556786,4.562403818749702,1.976146542109945,6.538550360859648,12.46421745382768,9.502832335251938,2.961385118575741,5.378877454215026,2.00046535231079,7.379342806525815,.7921438520606693
Taj Gibson,gibsota01,2021,2179,1074,-.4039107783740626,4.661207082763576,4.257296304389513,2.007183210397585,2.634288722813275,4.64147193321086,.0998670986564668,4.449813974608465,4.549681073264932,3.983846183791057,3.457117365128031,.526728818663026,-.6511784143940765,4.032945122743684,3.381766708349608,-.806755265737491
Harry Giles III,gilesha01,2021,757,352,-3.156725355820031,-1.274652834978498,-4.431378190798529,-6.146812603450472,1.199849355289957,-4.946963248160515,-4.050903190928531,-.808111306741482,-4.859014497670013,-.4004967657401384,-.2905280700233342,-.1099686957168042,-2.644156867007364,-2.123647675323307,-4.767804542330671,.6591577682908628
Shai Gilgeous-Alexander,gilgesh01,2021,2461,1180,3.606151145128072,-.9540347417728334,2.652116403355238,2.266692845045336,-2.664372012694377,-.3976791676490414,3.710832429982486,-1.346860943818877,2.363971486163608,3.061202065007729,3.061202065007729,0,2.016367153806453,-1.522512289426435,.4938548643800184,-.5769994422863338
Anthony Gill,gillan01,2021,542,251,-1.813341601894596,-.4485788405590044,-2.2619204424536,-4.602833517357951,1.279056796227522,-3.323776721130428,-2.529088086837057,-.0949924657533294,-2.624080552590387,-.0043849662123181,.2585167688803047,-.2629017350926228,-2.815772042013342,-1.435886428007744,-4.251658470021087,-.3803136563434246
Freddie Gillespie,gillefr01,2021,824,392,-1.985757706086008,1.132778802588623,-.8529789034973849,-3.763964000863684,-1.233880792842334,-4.997844793706017,-2.499465329571917,.7092639988975808,-1.790201330674336,.1913054841025203,.1913054841025203,0,-2.148588261341007,1.099786264562335,-1.048801996778673,-.3433489456287959
Rudy Gobert,goberru01,2021,5381,2563,-.8982926038126581,7.14703791702987,6.248745313217213,3.415970080579296,8.884068067567483,12.30003814814678,-.1207121647184139,7.907439122599936,7.786726957881521,13.83774545683709,12.3635312420557,1.474214214781389,.1729969179910535,7.459246169993211,7.632243087984263,.2680926436575296
Brandon Goodwin,goodwbr01,2021,1279,620,-1.879029171732211,-2.123909602394262,-4.002938774126473,-4.86377363051189,.2800006651790974,-4.583772965332793,-2.65207892562574,-1.744908523643128,-4.396987449268869,-.5140476851204561,-.5140476851204561,0,-2.047890073402287,-2.839181183169786,-4.887071256572073,-1.343937578653995
Aaron Gordon,gordoaa01,2021,3489,1683,-1.126082656761403,.9504941402506698,-.1755885165107335,1.32373429031446,.8678718038316892,2.191606094146149,-.6585316336357965,1.009129402849613,.3505977692138167,2.67295809781699,2.440984419977076,.2319736778399137,-1.003525638593895,.2860928250040485,-.7174328135898463,.2445580010093746
Eric Gordon,gordoer01,2021,1691,789,.5129520270075756,-4.577491730603973,-4.064539703596397,-.6063258868402026,-.2718579375536425,-.8781838243938451,.4116879708894248,-3.938845011299312,-3.527157040409887,-.3150116106381073,-.3150116106381073,0,-.2463367063628352,-4.524777709139715,-4.77111441550255,.7000086421382814
Devonte' Graham,grahade01,2021,3433,1659,2.348645154159747,-.2723882463745636,2.076256907785183,-.9381871960501507,3.774900216768255,2.836713020718104,1.841884250572411,.5550234087559456,2.396907659328357,4.31737058881949,4.31737058881949,0,2.59761487141192,-.3716344514641653,2.225980419947755,-.9059162245664327
Jerami Grant,grantje01,2021,3780,1829,1.223564006864821,-.889430490968234,.3341335158965872,-.2734176761623556,1.481337203720308,1.207919527557952,1.07080228422161,-.4375042943323939,.6332979898892159,3.169332636446739,3.169332636446739,0,1.066903762519707,-.9174585700357326,.1494451924839745,.3898298024718953
Danny Green,greenda02,2021,4511,2133,.2049517064136017,2.990713407482799,3.1956651138964,3.167663457874481,-1.696368858653978,1.471294599220503,.8299232474940387,2.102794815629053,2.932718063123092,6.224987211364143,5.419305227278828,.8056819840853146,1.033828968164766,3.082663700373035,4.116492668537801,.348238193208975
Draymond Green,greendr01,2021,4303,1982,-.3249836831906061,3.995355652178995,3.670371968988389,6.15260756351584,.8804029216408248,7.033010485156665,1.018353097013545,3.549223625719762,4.567576722733307,7.530784352730482,7.530784352730482,0,.3530162232306754,3.998968696294893,4.351984919525568,1.789421272529425
JaMychal Green,greenja01,2021,2650,1310,.5259130923178781,-1.366207494322311,-.8402944020044333,-.975699257285523,1.920223108874413,.9445238515888895,.1925095865264668,-.7656275953585574,-.5731180088320906,1.474858535484554,.8731581801031937,.6017003553813607,-.093462777389979,-1.126541193027889,-1.220003970417868,-.639642783797041
Javonte Green,greenja02,2021,997,473,-.3694752927661897,.8672185436259465,.4977432508597569,.9697307735981878,1.499689523794961,2.469420297393148,-.1247209211533977,1.047760102066918,.9230391809135201,.8829611051241726,.8829611051241726,0,.5628489835109639,.5795601227508713,1.142409106261835,.1507142324471334
Jeff Green,greenje02,2021,4187,1983,-.5911500535637729,-.4889500800997997,-1.080100133663573,-.6905538625151119,-.2135547395920114,-.9041086021071232,-.7036576625776415,-.4534302446324617,-1.157087907210103,1.638685742007754,1.102317199856134,.5363685421516193,-.4462085786322487,-.8618549352419133,-1.308063513874162,-.2214918896813207
Josh Green,greenjo02,2021,939,449,-3.052330166885132,-1.562912760349771,-4.615242927234902,-3.405078307165577,2.387388587772981,-1.017689719392596,-3.337989381815505,-.8432003410672636,-4.181189722882769,-.3289942787408792,-.3022786730870989,-.0267156056537802,-3.449606611584736,-1.910893221749097,-5.360499833333834,-.1767058328567179
