Year,Name,College,POS,Height_in,Weight_lbs,Hand_Size_in,Arm_Length_in,40_Yard_sec,Bench_Press,Vert_Leap_In,Broad_Jump_in,Shuttle_Shuttle,3Cone,Team,Round,Draft_Order,Rush_Attempt_pg,GP,Total_Yrd_pg,TD,Rush_PA,Rush_Yds_Gm,Total_Yds
2017,Rushel Shell,West Virginia,RB,69.63,227,9.63,30,4.74,21,32.5,,4.08,7.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017,De'Veon Smith,Michigan,RB,70.88,223,9,29.5,4.85,22,29,108,4.56,7.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017,Jahad Thomas,Temple,RB,69.63,190,9,30.13,4.62,11,32,116,4.52,7.26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017,Justin Thomas,Georgia Tech,RB,69.13,186,9.13,29.75,4.35,,32,115,4.14,7.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017,Anthony Wales,Western Kentucky,RB,68.88,197,8.25,30.125,4.51,13,37.5,112,4.23,6.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017,Jamaal Williams,Brigham Young,RB,72,212,10,31.25,4.59,18,30,123,4.53,7.25,Packers,4,134,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017,Joe Williams,Utah,RB,70.75,210,9.38,30.75,4.41,14,35,125,4.19,7.19,49ers,4,121,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017,Stanley Williams,Kentucky,RB,67.13,190,8.63,30,4.43,18,36,121,4.18,6.86,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017,Joseph Yearby,Miami (FL),RB,68.75,185,8.63,29.625,4.67,13,31,107,4.35,7.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Peyton Barber,Auburn,RB,70,228,9.38,30.25,4.64,20,32.5,111,4.21,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Devontae Booker,Utah,RB,70.75,219,8.63,31.63,,22,,,,,Broncos,4,136,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Zac Brooks,Clemson,RB,71.88,199,8.75,31.5,4.49,18,36,129,4.38,7.09,Seahawks,7,247,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Tra Carson,Texas A&M,RB,71.25,227,9.25,31.5,4.64,19,37,115,4.27,7.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,J.C. Coleman,Virginia Tech,RB,66,189,9.25,29.75,4.55,19,37,117,4.27,7.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Alex Collins,Arkansas,RB,70,217,9.25,30.25,4.59,18,28.5,113,,,Seahawks,5,171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Marshaun Coprich,Illinois State,RB,68,207,9,29.63,4.47,17,34,112,4.58,7.26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Kenneth Dixon,Louisiana Tech,RB,70.13,215,9.5,31.38,4.56,18,37.5,121,4.28,6.97,Ravens,4,134,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Kenyan Drake,Alabama,RB,72.63,210,9.75,31.75,4.45,10,34.5,123,4.21,7.04,Dolphins,3,73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Ezekiel Elliott,Ohio State,RB,71.75,225,10.25,31.25,4.47,,32.5,118,,,Cowboys,1,4,20.204,71,20.204,46,4.474,90.556,118.092
2016,Tyler Ervin,San Jose State,RB,69.88,192,9.13,29.75,4.41,17,39,130,4.34,7.03,Texans,4,119,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Josh Ferguson,Illinois,RB,69.5,198,9,30,4.48,21,34.5,120,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Johnathan Gray,Texas,RB,69.63,215,9.25,30.75,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Aaron Green,Texas Christian,RB,70.88,203,8.38,31.125,4.56,18,32.5,120,4.04,6.81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Glenn Gronkowski,Kansas State,RB,74.13,239,9.5,30.75,4.71,17,33,120,4.45,7.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Russell Hansbrough,Missouri,RB,67.88,192,8.5,28.125,4.63,17,30.5,114,4.56,7.43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Derrick Henry,Alabama,RB,74.63,247,8.75,33,4.54,22,37,130,4.38,7.2,Titans,2,45,15.12,78,15.12,55,4.81,74.944,83.878
2016,Quayvon Hicks,Georgia,RB,72.88,259,9.63,31.25,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Jordan Howard,Indiana,RB,71.88,230,9,32.25,4.59,16,34,122,4.34,7.14,Bears,5,150,15.395,57,15.395,30,4.3575,67.15,78.06
2016,Darius Jackson,Eastern Michigan,RB,72,220,8.63,31.625,4.4,20,41,133,4.29,6.87,Cowboys,6,216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Andy Janovich,Nebraska,RB,73,238,9.75,31.63,4.81,30,34,119,4.32,7.28,Broncos,6,176,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Brandon Johnson,Penn State,RB,74,228,9.5,32.375,4.43,22,39.5,127,4.12,6.84,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Devon Johnson,Marshall (WV),RB,72.5,238,9.25,31.25,4.61,,33,113,4.6,7.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Daniel Lasco,California,RB,72.25,209,9.13,32,4.46,23,41.5,135,4.26,7.22,Saints,7,237,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Tre Madden,Southern California,RB,72.25,223,9.38,29.75,4.56,24,33.5,120,4.38,7.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Keith Marshall,Georgia,RB,71.38,219,9.38,31.63,4.31,25,30.5,,4.25,6.98,Redskins,7,242,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Paul Perkins,UCLA,RB,70.38,208,9,31.63,4.54,19,32,124,,,Giants,5,149,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Christian Powell,Colorado,RB,71.25,229,8.88,32.5,4.68,15,34.5,116,4.38,7.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Shaquille Powell,Duke,RB,69.13,210,9,29.75,4.63,23,31.5,116,4.23,7.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Jhurell Pressley,New Mexico,RB,70.13,206,9.25,32,4.4,25,33.5,117,4.15,7.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,C.J. Prosise,Notre Dame,RB,72.5,220,8.5,32.13,4.48,,35.5,121,4.42,7.19,Seahawks,3,90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Keenan Reynolds,Navy,RB,69.5,190,8.63,30.25,4.57,15,37,120,,,Ravens,6,182,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Wendell Smallwood,West Virginia,RB,70.5,208,9.25,30.5,4.47,14,33.5,120,4.28,6.83,Eagles,5,153,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Kelvin Taylor,Florida,RB,70.25,207,8.25,29.25,4.6,15,32,113,4.56,7.23,49ers,6,211,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Shadrach Thornton,North Carolina State,RB,71.63,217,9.75,30,4.75,12,31,116,4.21,6.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Soma Vainuku,Southern California,RB,71.5,246,9.5,32.75,4.68,26,32,108,4.46,7.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Dan Vitale,Northwestern,RB,72.88,239,9.75,31.75,4.6,30,38.5,123,4.12,7.12,Buccaneers,6,197,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
